Timestamp,AverageCPUUtilization,AverageCPUPowerConsumedWatts,AverageMemoryPowerConsumedWatts,AverageMemoryUtilization,AveragePowerSupplyInput,AveragePowerSupplyOutput,AverageSystemPowerConsumedWatts,CPUPowerMetric1,CPUPowerMetric2,CPUTemp1,CPUTemp2,InletAirTempEvent,MaxCPUPowerConsumedWatts,MaxMemoryPowerConsumedWatts,MaxSystemPowerConsumedWatts,MinCPUPowerConsumedWatts,MinMemoryPowerConsumedWatts,MinSystemPowerConsumedWatts
01/01/2024 12:50:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:51:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:52:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:53:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:54:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:55:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:56:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:57:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:58:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 12:59:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:00:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:01:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:02:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:03:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:04:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:05:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:06:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:07:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:08:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:09:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:10:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:11:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:12:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:13:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:14:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:15:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:16:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:17:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:18:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:19:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:20:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:21:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:22:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:23:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:24:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:25:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:26:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:27:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:28:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:29:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:30:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:31:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
